observations
ZTF18abauprj has a peak observation at 299.69
ZTF18abavruc has a peak observation at 1406.71
ZTF18abaxlpi has a peak observation at 296.95
ZTF18abbikrz has a peak observation at 1063.68
ZTF18abbodly has a peak observation at 285.95
ZTF18abbovuc has a peak observation at 301.68
ZTF18abbpeqo has a peak observation at 302.81
ZTF18abbpxik has a peak observation at 298.77
ZTF18abbpyvk has a peak observation at 311.67
ZTF18abbqjds has a peak observation at 298.81
ZTF18abbvsiv has a peak observation at 297.74
ZTF18abcdzyc has a peak observation at 300.81
ZTF18abceakp has a peak observation at 303.71
ZTF18abcecfi has a peak observation at 306.68
ZTF18abcezmh has a peak observation at 299.88
ZTF18abcfcoo has a peak observation at 288.8
ZTF18abcfdzu has a peak observation at 350.68
ZTF18abcflnz has a peak observation at 308.89
ZTF18abcicrq has a peak observation at 295.69
ZTF18abckujg has a peak observation at 303.72
ZTF18abckujq has a peak observation at 303.7
ZTF18abckutn has a peak observation at 299.84
ZTF18abclfee has a peak observation at 299.7
ZTF18abcpmwh has a peak observation at 300.7
ZTF18abcpolh has a peak observation at 304.68
ZTF18abcptmt has a peak observation at 302.83
ZTF18abcrtnq has a peak observation at 301.76
ZTF18abcrxoj has a peak observation at 305.7
ZTF18abcryxz has a peak observation at 295.74
ZTF18abcrzfz has a peak observation at 304.7
ZTF18abcsgvj has a peak observation at 302.79
ZTF18abcvush has a peak observation at 305.84
ZTF18abcxyjp has a peak observation at 306.72
ZTF18abcyhju has a peak observation at 294.73
ZTF18abcyilc has a peak observation at 312.72
ZTF18abcysdx has a peak observation at 308.83
ZTF18abcyues has a peak observation at 294.81
ZTF18abdbuty has a peak observation at 306.81
ZTF18abdbysy has a peak observation at 302.81
ZTF18abdcfgz has a peak observation at 304.68
ZTF18abdcudb has a peak observation at 677.85
ZTF18abddrhd has a peak observation at 311.71
ZTF18abdefet has a peak observation at 310.89
ZTF18abdfaqi has a peak observation at 306.72
ZTF18abdfazk has a peak observation at 306.72
ZTF18abdffeo has a peak observation at 306.67
ZTF18abdfwcy has a peak observation at 304.68
ZTF18abdfwur has a peak observation at 308.7
ZTF18abdfydj has a peak observation at 306.81
ZTF18abdgwxn has a peak observation at 305.8
ZTF18abdhsfc has a peak observation at 312.91
ZTF18abdiqdh has a peak observation at 319.71
ZTF18abdiwpt has a peak observation at 320.77
ZTF18abdjmfh has a peak observation at 306.69
ZTF18abdkimx has a peak observation at 312.83
ZTF18abdkkwa has a peak observation at 326.79
ZTF18abdmlya has a peak observation at 305.68
ZTF18abdolfe has a peak observation at 1601.03
ZTF18abdpvnd has a peak observation at 322.91
ZTF18abdrbqp has a peak observation at 307.73
ZTF18abdrmin has a peak observation at 315.68
ZTF18abeaipj has a peak observation at 314.73
ZTF18abeajml has a peak observation at 314.75
ZTF18abeamgv has a peak observation at 314.72
